uuid,x,y
uuid:d3260b39-5dcb-45c0-a98e-42e36b1c4d2f,-4.9539995,5.166779
uuid:dbb4ec14-0f1b-4410-8636-ffbc240e75c9,0.78681564,1.8380984
uuid:30c79553-aad9-4cef-938b-0c488b7a66e2,-7.0493984,6.0794353
uuid:5f2caf90-51c5-4295-812a-28d7df0210e3,-8.551917,5.264205
uuid:ba6119b4-7dff-4857-a5a7-3cd85dc52a06,-7.211368,6.54238
uuid:b774158a-81ce-4cb5-a7f3-483e2a0893b5,8.030343,0.77064353
uuid:e94aa3dc-2989-4777-803a-60de21a19138,-7.063511,4.3843307
uuid:59570ecd-06f8-498a-aba5-6a9c71b20c68,7.637971,0.9536517
uuid:890990c3-d4b3-4e38-b0ac-8091a928d312,-8.743154,5.178915
uuid:f506ffcf-c53d-4f7d-bbef-d142f38a5a7d,-7.5428915,6.018928
uuid:71527370-e37c-4cd9-82df-b120cdb10749,-7.6589694,6.1021557
uuid:17fc4603-6ddf-4e35-b971-0fb226a9b89e,0.6965703,3.3306684
uuid:f8f9b4f0-f404-4ccf-8a74-b312a49fcfea,-7.92136,5.714323
uuid:556ea2f7-62f8-4b71-ad0c-a336587b5cb2,-6.733864,6.1107273
uuid:c665f215-a8ee-4f5c-9f15-60d0c33e9a34,-6.6218314,6.44741
uuid:af69c084-a567-4405-9428-83d71ac3ed12,-7.2968597,5.409562
uuid:66a07ac8-3e62-4654-9373-e68594585a21,-7.6127977,4.959842
uuid:e01e79df-f938-4973-b7d1-e3a034ec54ec,-8.958686,5.084262
uuid:00160766-4047-405d-89d9-aaab5546e8fa,4.3759937,-1.8159312
uuid:812be839-1a3a-4b81-8ee0-b105765a7090,-7.099323,5.764754
uuid:3dabfda2-4808-4a9b-ba53-f5dd2ee2484a,7.165914,2.8407183
uuid:ad99e9fe-b3aa-426e-a061-b2f9eb70584e,-4.5614567,4.9489713
uuid:7b1d88c6-9ca1-4490-90ab-1ba6b79535e2,-5.1823606,1.949674
uuid:22a6dedc-b0d6-459d-b556-b2e2a19e8010,-6.7119904,4.8661714
uuid:7bc06e17-ce10-404f-a8dc-81f23ea880a3,-5.1009655,1.8163935
uuid:6a2b900f-f12c-4e9a-a89a-34cce236e29a,7.203207,-0.29131
uuid:fcc62737-3755-447c-b4c9-fc12891ee42a,4.896783,1.1516188
uuid:3cae65ad-87e5-4771-a286-3ec1b599ef67,7.686482,2.2986934
